Date,High,Low,Open,Close
11/27/1987 00:00:00,244.12,240.34,240.34,240.34
11/30/1987 00:00:00,240.34,225.78,230.3,230.3
12/01/1987 00:00:00,234.02,230.3,232,232
12/02/1987 00:00:00,234.56,230.31,233.45,233.45
12/03/1987 00:00:00,233.9,225.21,225.21,225.21
12/04/1987 00:00:00,225.77,221.24,223.92,223.92
12/07/1987 00:00:00,228.77,223.92,228.76,228.76
12/08/1987 00:00:00,234.92,228.69,234.91,234.91
12/09/1987 00:00:00,240.09,233.83,238.89,238.89
12/10/1987 00:00:00,240.05,233.4,233.57,233.57
12/11/1987 00:00:00,235.48,233.35,235.32,235.32
12/14/1987 00:00:00,242.34,235.04,242.19,242.19
12/15/1987 00:00:00,245.59,241.31,242.8,242.8
12/16/1987 00:00:00,248.11,242.8,248.08,248.08
12/17/1987 00:00:00,248.6,242.96,242.98,242.98
12/18/1987 00:00:00,249.18,242.98,249.16,249.16
12/21/1987 00:00:00,250.25,248.3,249.54,249.54
12/22/1987 00:00:00,249.97,247.01,249.95,249.95
12/23/1987 00:00:00,253.35,249.95,253.16,253.16
12/24/1987 00:00:00,253.16,251.68,252.02,252.02
12/28/1987 00:00:00,252.02,244.19,245.57,245.57
12/29/1987 00:00:00,245.88,244.28,244.59,244.59
12/30/1987 00:00:00,248.06,244.59,247.86,247.86
12/31/1987 00:00:00,247.86,245.22,247.08,247.08
01/04/1988 00:00:00,256.44,247.08,255.94,255.94
01/05/1988 00:00:00,261.78,255.94,258.63,258.63
01/06/1988 00:00:00,259.79,257.18,258.89,258.89
01/07/1988 00:00:00,261.32,256.18,261.07,261.07
01/08/1988 00:00:00,261.07,242.95,243.4,243.4
01/11/1988 00:00:00,247.51,241.07,247.49,247.49
01/12/1988 00:00:00,247.49,240.46,245.42,245.42
01/13/1988 00:00:00,249.25,241.41,245.81,245.81
01/14/1988 00:00:00,247,243.97,245.88,245.88
01/15/1988 00:00:00,253.65,245.88,252.05,252.05
01/18/1988 00:00:00,252.86,249.98,251.88,251.88
01/19/1988 00:00:00,253.33,248.75,249.32,249.32
01/20/1988 00:00:00,249.32,241.14,242.63,242.63
01/21/1988 00:00:00,244.25,240.17,243.14,243.14
01/22/1988 00:00:00,246.5,243.14,246.5,246.5
01/25/1988 00:00:00,252.87,246.5,252.17,252.17
01/26/1988 00:00:00,252.17,249.1,249.57,249.57
01/27/1988 00:00:00,253.02,248.5,249.38,249.38
01/28/1988 00:00:00,253.66,249.38,253.29,253.29
01/29/1988 00:00:00,257.07,252.7,257.07,257.07
02/01/1988 00:00:00,258.27,254.93,255.04,255.04
02/02/1988 00:00:00,256.08,252.8,255.57,255.57
02/03/1988 00:00:00,256.98,250.56,252.21,252.21
02/04/1988 00:00:00,253.03,250.34,252.21,252.21
02/05/1988 00:00:00,253.85,250.9,250.96,250.96
02/08/1988 00:00:00,250.96,247.82,249.1,249.1
02/09/1988 00:00:00,251.72,248.66,251.72,251.72
02/10/1988 00:00:00,256.92,251.72,256.66,256.66
02/11/1988 00:00:00,257.77,255.12,255.95,255.95
02/12/1988 00:00:00,258.86,255.85,257.63,257.63
02/16/1988 00:00:00,259.84,256.57,259.83,259.83
02/17/1988 00:00:00,261.47,257.83,259.21,259.21
02/18/1988 00:00:00,259.6,256.9,257.91,257.91
02/19/1988 00:00:00,261.61,257.62,261.61,261.61
02/22/1988 00:00:00,266.06,260.88,265.64,265.64
02/23/1988 00:00:00,266.12,263.11,265.02,265.02
02/24/1988 00:00:00,266.25,263.87,264.43,264.43
02/25/1988 00:00:00,267.75,261.05,261.58,261.58
02/26/1988 00:00:00,263,261.38,262.46,262.46
02/29/1988 00:00:00,267.82,262.46,267.82,267.82
03/01/1988 00:00:00,267.95,265.39,267.22,267.22
03/02/1988 00:00:00,268.75,267,267.98,267.98
03/03/1988 00:00:00,268.4,266.82,267.88,267.88
03/04/1988 00:00:00,268.4,264.72,267.3,267.3
03/07/1988 00:00:00,267.69,265.94,267.38,267.38
03/08/1988 00:00:00,270.06,267.38,269.43,269.43
03/09/1988 00:00:00,270.76,268.65,269.06,269.06
03/10/1988 00:00:00,269.35,263.8,263.84,263.84
03/11/1988 00:00:00,264.94,261.27,264.94,264.94
03/14/1988 00:00:00,266.55,264.52,266.37,266.37
03/15/1988 00:00:00,266.41,264.92,266.13,266.13
03/16/1988 00:00:00,268.68,264.81,268.65,268.65
03/17/1988 00:00:00,271.22,268.65,271.22,271.22
03/18/1988 00:00:00,272.64,269.76,271.12,271.12
03/21/1988 00:00:00,271.12,267.42,268.74,268.74
03/22/1988 00:00:00,269.61,267.9,268.84,268.84
03/23/1988 00:00:00,269.79,268.01,268.91,268.91
03/24/1988 00:00:00,268.91,262.48,263.35,263.35
03/25/1988 00:00:00,263.44,258.12,258.51,258.51
03/28/1988 00:00:00,258.51,256.07,258.06,258.06
03/29/1988 00:00:00,260.86,258.06,260.07,260.07
03/30/1988 00:00:00,261.59,257.92,258.07,258.07
